Row,State,DivisionNm,Year1,Party1,Year2,Party2
5,SA,Barker,2010,LP,2013,LP
6,NSW,Barton,2010,ALP,2013,LP
7,TAS,Bass,2010,ALP,2013,LP
8,ACT,Bean,2010,,2013,
9,VIC,Bendigo,2010,ALP,2013,ALP
10,NSW,Bennelong,2010,LP,2013,LP
11,NSW,Berowra,2010,LP,2013,LP
12,QLD,Blair,2010,ALP,2013,ALP
13,NSW,Blaxland,2010,ALP,2013,ALP
14,QLD,Bonner,2010,LNQ,2013,LNP
15,SA,Boothby,2010,LP,2013,LP
16,QLD,Bowman,2010,LNQ,2013,LNP
17,TAS,Braddon,2010,ALP,2013,LP
18,NSW,Bradfield,2010,LP,2013,LP
19,WA,Brand,2010,ALP,2013,ALP
20,QLD,Brisbane,2010,LNQ,2013,LNP
21,VIC,Bruce,2010,ALP,2013,ALP
22,WA,Bullwinkel,2010,,2013,
23,WA,Burt,2010,,2013,
24,NSW,Calare,2010,NP,2013,NP
25,VIC,Calwell,2010,ALP,2013,ALP
26,ACT,Canberra,2010,ALP,2013,ALP
27,WA,Canning,2010,LP,2013,LP
28,QLD,Capricornia,2010,ALP,2013,LNP
29,VIC,Casey,2010,LP,2013,LP
30,NSW,Chifley,2010,ALP,2013,ALP
31,VIC,Chisholm,2010,ALP,2013,ALP
32,TAS,Clark,2010,IND,2013,IND
33,NSW,Cook,2010,LP,2013,LP
34,VIC,Cooper,2010,ALP,2013,ALP
35,VIC,Corangamite,2010,ALP,2013,LP
36,VIC,Corio,2010,ALP,2013,ALP
37,WA,Cowan,2010,LP,2013,LP
38,NSW,Cowper,2010,NP,2013,NP
39,NSW,Cunningham,2010,ALP,2013,ALP
40,WA,Curtin,2010,LP,2013,LP
41,QLD,Dawson,2010,LNQ,2013,LNP
42,VIC,Deakin,2010,ALP,2013,LP
43,QLD,Dickson,2010,LNQ,2013,LNP
44,NSW,Dobell,2010,ALP,2013,LP
45,VIC,Dunkley,2010,LP,2013,LP
46,WA,Durack,2010,LP,2013,LP
47,NSW,Eden-Monaro,2010,ALP,2013,LP
48,QLD,Fadden,2010,LNQ,2013,LNP
49,QLD,Fairfax,2010,LNQ,2013,PUP
50,NSW,Farrer,2010,LP,2013,LP
51,ACT,Fenner,2010,ALP,2013,ALP
52,QLD,Fisher,2010,LNQ,2013,LNP
53,VIC,Flinders,2010,LP,2013,LP
54,QLD,Flynn,2010,LNQ,2013,LNP
55,QLD,Forde,2010,LNQ,2013,LNP
56,WA,Forrest,2010,LP,2013,LP
