Row,PartyAb,Party,Seats Elected,TotalVotes,TotalPercentage,Year,TotalSeats,Seat Percentage
380,ALP,Australian Labor Party,32,,,1928,76,0.421052632
381,NAT,Nationalist Party,37,,,1925,76,0.486842105
382,NP,Country Party / The Nationals,14,,,1925,76,0.184210526
383,ALP,Australian Labor Party,24,,,1925,76,0.315789474
384,IND,Independent,1,,,1925,76,0.013157895
385,NAT,Nationalist Party,26,,,1922,76,0.342105263
386,LP,Commonwealth Liberal Party,5,,,1922,76,0.065789474
387,NP,Country Party / The Nationals,14,,,1922,76,0.184210526
388,ALP,Australian Labor Party,30,,,1922,76,0.394736842
389,IND,Independent,1,,,1922,76,0.013157895
390,NAT,Nationalist Party,37,,,1919,75,0.493333333
391,NAT & FARMERS,Nationalists and Farmers,3,,,1919,75,0.04
392,IND,Independent,2,,,1919,75,0.026666667
393,ALP,Australian Labor Party,26,,,1919,75,0.346666667
394,NP,Country Party / The Nationals,2,,,1919,75,0.026666667
395,VFU,Victorian Farmer's Union,5,,,1919,75,0.066666667
396,NAT,Nationalist Party,53,,,1917,75,0.706666667
397,ALP,Australian Labor Party,22,,,1917,75,0.293333333
398,LP,Commonwealth Liberal Party,32,,,1914,75,0.426666667
399,ALP,Australian Labor Party,42,,,1914,75,0.56
400,IND,Independent,1,,,1914,75,0.013333333
401,LP,Commonwealth Liberal Party,38,,,1913,75,0.506666667
402,ALP,Australian Labor Party,37,,,1913,75,0.493333333
403,LP,Commonwealth Liberal Party,31,,,1910,75,0.413333333
404,ALP,Australian Labor Party,43,,,1910,75,0.573333333
405,IND,Independent,1,,,1910,75,0.013333333
406,PROT,Protectionist Party,16,,,1906,75,0.213333333
407,IND,Independent,6,,,1906,75,0.08
408,ALP,Australian Labor Party,26,,,1906,75,0.346666667
409,ANTI-SOC,Free Trade / Anti-Socialist Party,27,,,1906,75,0.36
410,PROT,Protectionist Party,26,,,1903,75,0.346666667
411,ALP,Australian Labor Party,23,,,1903,75,0.306666667
412,ANTI-SOC,Free Trade / Anti-Socialist Party,25,,,1903,75,0.333333333
413,IND,Independent,1,,,1903,75,0.013333333
414,PROT,Protectionist Party,31,,,1901,75,0.413333333
415,IND,Independent,2,,,1901,75,0.026666667
416,ALP,Australian Labor Party,14,,,1901,75,0.186666667
417,ANTI-SOC,Free Trade / Anti-Socialist Party,28,,,1901,75,0.373333333
