No.,Surname,GivenName,Party,StartDate,OppStart,EndDate,OppEnd,Period in Office,Length,TotalLength
17,Whitlam,Edward Gough,ALP,8/02/1967,-91411200000,5/12/1972,93657600000,08.02.1967 – 05.12.1972 (1/2),"5 years, 9 months, 28 days","7 years, 8 months, 23 days"
18,Snedden,Billy Mackie,LIB,20/12/1972,93657600000,21/03/1975,164592000000,20.12.1972 – 21.03.1975,"2 years, 3 months, 2 days","2 years, 3 months, 2 days"
19,Fraser,John Malcolm,LIB,21/03/1975,164592000000,11/11/1975,191548800000,21.03.1975 – 11.11.1975,"7 months, 22 days","7 months, 22 days"
,Whitlam,Edward Gough,ALP,27/01/1976,191548800000,22/12/1977,251596800000,27.01.1976 – 22.12.1977 (2/2),"1 year, 10 months, 26 days","7 years, 8 months, 23 days"
20,Hayden,William George,ALP,22/12/1977,251596800000,3/02/1983,413078400000,22.12.1977 – 03.02.1983,"5 years, 1 month, 13 days","5 years, 1 month, 13 days"
21,Hawke,Robert James Lee,ALP,3/02/1983,413078400000,11/03/1983,416188800000,03.02.1983 – 11.03.1983,"1 month, 9 days","1 month, 9 days"
22,Peacock,Andrew Sharp,LIB,11/03/1983,416188800000,5/09/1985,494726400000,11.03.1983 – 05.09.1985 (1/2),"2 years, 5 months, 26 days","3 years, 4 months, 21 days"
23,Howard,John Winston,LIB,5/09/1985,494726400000,9/05/1989,610675200000,05.09.1985 – 09.05.1989 (1/2),"3 years, 8 months, 5 days","4 years, 9 months, 17 days"
,Peacock,Andrew Sharp,LIB,9/05/1989,610675200000,3/04/1990,639100800000,09.05.1989 – 03.04.1990 (2/2),"10 months, 26 days","3 years, 4 months, 21 days"
24,Hewson,John Robert,LIB,3/04/1990,639100800000,23/05/1994,769651200000,03.04.1990 – 23.05.1994,"4 years, 1 month, 21 days","4 years, 1 month, 21 days"
25,Downer,Alexander John Gosse,LIB,23/05/1994,769651200000,30/01/1995,791424000000,23.05.1994 – 30.01.1995,"8 months, 8 days","8 months, 8 days"
,Howard,John Winston,LIB,30/01/1995,791424000000,11/03/1996,827193600000,30.01.1995 – 11.03.1996 (2/2),"1 year, 1 month, 12 days","4 years, 9 months, 17 days"
26,Beazley,Kim Christian,ALP,19/03/1996,827193600000,22/11/2001,1006387200000,19.03.1996 – 22.11.2001 (1/2),"5 years, 8 months, 3 days","7 years, 6 months, 9 days"
27,Crean,Simon,ALP,22/11/2001,1006387200000,2/12/2003,1070323200000,22.11.2001 – 02.12.2003,"2 years, 10 days","2 years, 10 days"
28,Latham,Mark,ALP,2/12/2003,1070323200000,18/01/2005,1106870400000,02.12.2003 – 18.01.2005,"1 year, 1 month, 16 days","1 year, 1 month, 16 days"
,Beazley,Kim Christian,ALP,28/01/2005,1106870400000,4/12/2006,1165190400000,28.01.2005 – 04.12.2006 (2/2),"1 year, 10 months, 6 days","7 years, 6 months, 9 days"
29,Rudd,Kevin Michael,ALP,4/12/2006,1165190400000,3/12/2007,1196640000000,04.12.2006 – 03.12.2007,1 year,1 year
30,Nelson,Brendan,LIB,3/12/2007,1196640000000,16/09/2008,1221523200000,03.12.2007 – 16.09.2008,"9 months, 13 days","9 months, 13 days"
31,Turnbull,Malcolm Bligh,LIB,16/09/2008,1221523200000,1/12/2009,1259625600000,16.09.2008 – 01.12.2009,"1 year, 2 months, 15 days","1 year, 2 months, 15 days"
32,Abbott,Anthony John,LIB,1/12/2009,1259625600000,18/09/2013,1379462400000,01.12.2009 – 18.09.2013,"3 years, 9 months, 17 days","3 years, 9 months, 17 days"
,Bowen,Chris,ALP,18/09/2013,1379462400000,13/10/2013,1381622400000,Interim ALP leader,1 month,1 month
33,Shorten,Bill,ALP,13/10/2013,1381622400000,27/05/2019,1558915200000,13.10.2013 – 27.05.2019,"5 years, 7 months, 14 days","5 years, 7 months, 14 days"
34,Albanese,Anthony Norman,ALP,27/05/2019,1558915200000,30/05/2022,1653868800000,27.05.2019 – 23.05.2022,"2 years, 11 months, 26 days","2 years, 11 months, 26 days"
35,Dutton,Peter,LIB,30/05/2022,1653868800000,12/05/2025,1747008000000,30.05.2022 – 13.05.2022,"2 years, 11 months, 14 days","2 years, 11 months, 14 days"
36,Ley,Sussan,LIB,12/05/2025,1747008000000,13/02/2026,1770940800000,13.05.2025 – 13.02.2026,9 months,9 months
37,Taylor,Angus,LIB,13/02/2026,1770940800000,current,1780272000000,13.02.2026 –,current,current
