DivisionNm,2004,2007,2010,2013,2016,2019,2022,2025,State
Isaacs,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Jagajaga,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Kalgoorlie,LP,LP,,,,,,,
Kennedy,IND,IND,IND,KAP,KAP,KAP,KAP,KAP,
Kingsford Smith,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Kingston,LP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Kooyong,LP,LP,LP,LP,LP,LP,IND,IND,
La Trobe,LP,LP,ALP,LP,LP,LP,LP,LP,
Lalor,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Leichhardt,LP,ALP,LNQ,LP,LP,LP,LP,ALP,
Lilley,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Lindsay,LP,ALP,ALP,LP,ALP,LP,LP,LP,
Lingiari,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Longman,LP,ALP,LNQ,LNP,ALP,LNP,LNP,LNP,
Lowe,ALP,ALP,,,,,,,
Lyne,NP,NP,IND,NP,NP,NP,NP,NP,
Lyons,ALP,ALP,ALP,LP,ALP,ALP,ALP,ALP,
Macarthur,LP,LP,LP,LP,ALP,ALP,ALP,ALP,
Mackellar,LP,LP,LP,LP,LP,LP,IND,IND,
Macnamara,,,,,,ALP,ALP,ALP,
Macquarie,LP,ALP,LP,LP,ALP,ALP,ALP,ALP,
Makin,LP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Mallee,NP,NP,NP,NP,NP,NP,NP,NP,
Maranoa,NP,NP,LNQ,LNP,LNP,LNP,LNP,LNP,
Maribyrnong,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Mayo,LP,LP,LP,LP,XEN,XEN,XEN,XEN,
McEwen,LP,LP,ALP,ALP,ALP,ALP,ALP,ALP,
McMahon,,,ALP,ALP,ALP,ALP,ALP,ALP,
McMillan,LP,LP,LP,LP,LP,,,,
McPherson,LP,LP,LNQ,LNP,LNP,LNP,LNP,LNP,
Melbourne,ALP,ALP,GRN,GRN,GRN,GRN,GRN,ALP,
Melbourne Ports,ALP,ALP,ALP,ALP,ALP,,,,
Menzies,LP,LP,LP,LP,LP,LP,LP,ALP,
Mitchell,LP,LP,LP,LP,LP,LP,LP,LP,
Monash,,,,,,LP,LP,LP,
Moncrieff,LP,LP,LNQ,LNP,LNP,LNP,LNP,LNP,
Moore,LP,LP,LP,LP,LP,LP,LP,ALP,
Moreton,LP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Murray,LP,LP,LP,LP,NP,,,,
New England,IND,IND,IND,NP,NP,NP,NP,NP,
Newcastle,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Nicholls,,,,,,NP,NP,NP,
North Sydney,LP,LP,LP,LP,LP,LP,IND,,
O'Connor,LP,LP,NP,LP,LP,LP,LP,LP,
Oxley,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Page,NP,ALP,ALP,NP,NP,NP,NP,NP,
Parkes,NP,NP,NP,NP,NP,NP,NP,NP,
Parramatta,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Paterson,LP,LP,LP,LP,ALP,ALP,ALP,ALP,
Pearce,LP,LP,LP,LP,LP,LP,ALP,ALP,
Perth,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Petrie,LP,ALP,ALP,LNP,LNP,LNP,LNP,ALP,
Port Adelaide,ALP,ALP,ALP,ALP,ALP,,,,
Prospect,ALP,ALP,,,,,,,
Rankin,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Reid,ALP,ALP,ALP,LP,LP,LP,ALP,ALP,
Richmond,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Riverina,NP,NP,NP,NP,NP,NP,NP,NP,
Robertson,LP,ALP,ALP,LP,LP,LP,ALP,ALP,
Ryan,LP,LP,LNQ,LNP,LNP,LNP,GRN,GRN,
Scullin,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Shortland,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Solomon,CLP,ALP,CLP,CLP,ALP,ALP,ALP,ALP,
Spence,,,,,,ALP,ALP,ALP,
Stirling,LP,LP,LP,LP,LP,LP,,,
Sturt,LP,LP,LP,LP,LP,LP,LP,ALP,
Swan,ALP,LP,LP,LP,LP,LP,ALP,ALP,
Sydney,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Tangney,LP,LP,LP,LP,LP,LP,ALP,ALP,
Throsby,ALP,ALP,ALP,ALP,,,,,
Wakefield,LP,ALP,ALP,ALP,ALP,,,,
Wannon,LP,LP,LP,LP,LP,LP,LP,LP,
Warringah,LP,LP,LP,LP,LP,IND,IND,IND,
Watson,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Wentworth,LP,LP,LP,LP,LP,LP,IND,IND,
Werriwa,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Whitlam,,,,,ALP,ALP,ALP,ALP,
Wide Bay,NP,NP,LNQ,LNP,LNP,LNP,LNP,LNP,
Wills,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Wright,,,LNQ,LNP,LNP,LNP,LNP,LNP,
