StateAb,GivenNm,Surname,PartyNm,PartyAb,Year
ACT,Gary,HUMPHRIES,Liberal,LP,2007
NSW,Mark,ARBIB,Labor,ALP,2007
NSW,Helen,COONAN,Liberal,LP,2007
NSW,Doug,CAMERON,Labor,ALP,2007
NSW,John,WILLIAMS,Nationals,NP,2007
NSW,Marise,PAYNE,Liberal,LP,2007
NSW,Ursula,STEPHENS,Labor,ALP,2007
NT,Trish,CROSSIN,Australian Labor Party (Northern Territory) Branch,ALP,2007
NT,Nigel,SCULLION,Northern Territory Country Liberal Party,CLP,2007
QLD,Ian Douglas,MACDONALD,Liberal,LP,2007
QLD,John Joseph,HOGG,Australian Labor Party,ALP,2007
QLD,Sue,BOYCE,Liberal,LP,2007
QLD,Claire,MOORE,Australian Labor Party,ALP,2007
QLD,Ron,BOSWELL,The Nationals,NP,2007
QLD,Mark,FURNER,Australian Labor Party,ALP,2007
SA,Don,FARRELL,Australian Labor Party,ALP,2007
SA,Cory,BERNARDI,Liberal,LP,2007
SA,Nick,XENOPHON,,,2007
SA,Penny,WONG,Australian Labor Party,ALP,2007
SA,Simon,BIRMINGHAM,Liberal,LP,2007
SA,Sarah,HANSON-YOUNG,The Greens,GRN,2007
TAS,Nick,SHERRY,Australian Labor Party,ALP,2007
TAS,Richard M,COLBECK,Liberal,LP,2007
TAS,Bob,BROWN,The Greens,GRN,2007
TAS,Carol,BROWN,Australian Labor Party,ALP,2007
TAS,David,BUSHBY,Liberal,LP,2007
TAS,Catryna,BILYK,Australian Labor Party,ALP,2007
VIC,Jacinta,COLLINS,Australian Labor Party,ALP,2007
VIC,Mitch,FIFIELD,Liberal,LP,2007
VIC,Gavin,MARSHALL,Australian Labor Party,ALP,2007
VIC,Helen,KROGER,Liberal,LP,2007
VIC,Scott,RYAN,Liberal,LP,2007
VIC,David,FEENEY,Australian Labor Party,ALP,2007
WA,David,JOHNSTON,Liberal,LP,2007
WA,Louise,PRATT,Australian Labor Party,ALP,2007
WA,Alan,EGGLESTON,Liberal,LP,2007
WA,Mark,BISHOP,Australian Labor Party,ALP,2007
WA,Michaelia,CASH,Liberal,LP,2007
WA,Scott,LUDLAM,The Greens,GRN,2007
ACT,Kate,LUNDY,Australian Labor Party (ACT Branch),ALP,2004
ACT,Gary,HUMPHRIES,Liberal Party of Australia - ACT Division,LP,2004
NSW,Bill,HEFFERNAN,"Liberal Party of Australia, NSW Division",LP,2004
NSW,Steve,HUTCHINS,Australian Labor Party (N.S.W. Branch),ALP,2004
NSW,Concetta,FIERRAVANTI-WELLS,"Liberal Party of Australia, NSW Division",LP,2004
NSW,John,FAULKNER,Australian Labor Party (N.S.W. Branch),ALP,2004
NSW,Fiona,NASH,National Party of Australia - N.S.W.,NP,2004
NSW,Michael,FORSHAW,Australian Labor Party (N.S.W. Branch),ALP,2004
NT,Nigel,SCULLION,Northern Territory Country Liberal Party,CLP,2004
NT,Trish,CROSSIN,Australian Labor Party (ALP),ALP,2004
QLD,Brett,MASON,Liberal Party of Australia - Queensland Division,LP,2004
QLD,Jan,McLUCAS,Australian Labor Party (State of Queensland),ALP,2004
QLD,George Henry,BRANDIS,Liberal Party of Australia - Queensland Division,LP,2004
QLD,Joe,LUDWIG,Australian Labor Party (State of Queensland),ALP,2004
QLD,Barnaby,JOYCE,National Party of Australia (Queensland),NP,2004
QLD,Russell,TROOD,Liberal Party of Australia - Queensland Division,LP,2004
SA,Nick,MINCHIN,Liberal Party of Australia (S.A. Division),LP,2004
SA,Anne,McEWEN,Australian Labor Party (South Australian Branch),ALP,2004
SA,Amanda,VANSTONE,Liberal Party of Australia (S.A. Division),LP,2004
SA,Annette Kay,HURLEY,Australian Labor Party (South Australian Branch),ALP,2004
SA,Alan,FERGUSON,Liberal Party of Australia (S.A. Division),LP,2004
SA,Dana,WORTLEY,Australian Labor Party (South Australian Branch),ALP,2004
TAS,Eric,ABETZ,Liberal Party of Australia - Tasmanian Division,LP,2004
TAS,Kerry,O'BRIEN,Australian Labor Party (Tasmanian Branch),ALP,2004
TAS,Guy,BARNETT,Liberal Party of Australia - Tasmanian Division,LP,2004
TAS,Helen,POLLEY,Australian Labor Party (Tasmanian Branch),ALP,2004
TAS,Stephen,PARRY,Liberal Party of Australia - Tasmanian Division,LP,2004
TAS,Christine,MILNE,Australian Greens,GRN,2004
VIC,Michael,RONALDSON,Liberal Party of Australia (Victorian Division),LP,2004
VIC,Kim John,CARR,Australian Labor Party (Victorian Branch),ALP,2004
VIC,Julian,McGAURAN,National Party of Australia - Victoria,NP,2004
VIC,Stephen M,CONROY,Australian Labor Party (Victorian Branch),ALP,2004
VIC,Judith,TROETH,Liberal Party of Australia (Victorian Division),LP,2004
VIC,Steve,FIELDING,Family First Party,FFP,2004
WA,Chris,ELLISON,Liberal Party (W.A. Division) Inc.,LP,2004
WA,Chris,EVANS,Australian Labor Party (Western Australian Branch),ALP,2004
WA,Ian,CAMPBELL,Liberal Party (W.A. Division) Inc.,LP,2004
WA,Glenn,STERLE,Australian Labor Party (Western Australian Branch),ALP,2004
WA,Judith,ADAMS,Liberal Party (W.A. Division) Inc.,LP,2004
WA,Rachel,SIEWERT,Australian Greens,GRN,2004
